id_sensor	id_plot	position_sensor	datetime	month	month_num	date	time	t_hobo
59-32-a	59_32	a	2023-09-17T12:00:00Z	September	9	2023-09-17	12:00:00	20.234
59-32-a	59_32	a	2023-09-17T13:00:00Z	September	9	2023-09-17	13:00:00	20.329
59-32-a	59_32	a	2023-09-02T17:00:00Z	September	9	2023-09-02	17:00:00	19.662
59-32-a	59_32	a	2023-09-02T18:00:00Z	September	9	2023-09-02	18:00:00	19.187
59-32-a	59_32	a	2023-09-02T20:00:00Z	September	9	2023-09-02	20:00:00	18.045
59-32-a	59_32	a	2023-09-01T13:00:00Z	September	9	2023-09-01	13:00:00	18.236
59-32-a	59_32	a	2023-09-01T14:00:00Z	September	9	2023-09-01	14:00:00	18.236
59-32-a	59_32	a	2023-09-01T15:00:00Z	September	9	2023-09-01	15:00:00	18.521
59-32-a	59_32	a	2023-09-14T01:00:00Z	September	9	2023-09-14	01:00:00	13.558
59-32-a	59_32	a	2023-09-14T02:00:00Z	September	9	2023-09-14	02:00:00	13.461
59-32-a	59_32	a	2023-09-14T03:00:00Z	September	9	2023-09-14	03:00:00	13.173
59-32-a	59_32	a	2023-09-14T04:00:00Z	September	9	2023-09-14	04:00:00	13.076
59-32-a	59_32	a	2023-09-14T05:00:00Z	September	9	2023-09-14	05:00:00	12.883
59-32-a	59_32	a	2023-09-01T21:00:00Z	September	9	2023-09-01	21:00:00	16.903
59-32-a	59_32	a	2023-09-01T22:00:00Z	September	9	2023-09-01	22:00:00	13.654
59-32-a	59_32	a	2023-09-01T23:00:00Z	September	9	2023-09-01	23:00:00	13.942
59-32-a	59_32	a	2023-09-13T12:00:00Z	September	9	2023-09-13	12:00:00	19.092
59-32-a	59_32	a	2023-09-13T13:00:00Z	September	9	2023-09-13	13:00:00	19.282
59-32-a	59_32	a	2023-09-13T21:00:00Z	September	9	2023-09-13	21:00:00	14.709
59-32-a	59_32	a	2023-09-13T22:00:00Z	September	9	2023-09-13	22:00:00	17.475
59-32-a	59_32	a	2023-09-12T21:00:00Z	September	9	2023-09-12	21:00:00	17.665
59-32-a	59_32	a	2023-09-27T10:00:00Z	September	9	2023-09-27	10:00:00	16.618
59-32-a	59_32	a	2023-09-27T14:00:00Z	September	9	2023-09-27	14:00:00	18.901
59-32-a	59_32	a	2023-09-27T15:00:00Z	September	9	2023-09-27	15:00:00	18.901
59-32-a	59_32	a	2023-09-06T07:00:00Z	September	9	2023-09-06	07:00:00	17.284
59-32-a	59_32	a	2023-09-06T08:00:00Z	September	9	2023-09-06	08:00:00	18.616
59-32-a	59_32	a	2023-09-22T01:00:00Z	September	9	2023-09-22	01:00:00	13.076
59-32-a	59_32	a	2023-09-05T17:00:00Z	September	9	2023-09-05	17:00:00	22.333
59-32-a	59_32	a	2023-09-05T18:00:00Z	September	9	2023-09-05	18:00:00	21.664
59-32-a	59_32	a	2023-09-05T19:00:00Z	September	9	2023-09-05	19:00:00	21.187
59-32-a	59_32	a	2023-09-05T20:00:00Z	September	9	2023-09-05	20:00:00	20.71
59-32-a	59_32	a	2023-09-05T21:00:00Z	September	9	2023-09-05	21:00:00	20.043
59-32-a	59_32	a	2023-09-05T22:00:00Z	September	9	2023-09-05	22:00:00	17.189
59-32-a	59_32	a	2023-09-05T23:00:00Z	September	9	2023-09-05	23:00:00	16.903
59-32-a	59_32	a	2023-09-02T00:00:00Z	September	9	2023-09-02	00:00:00	16.523
59-32-a	59_32	a	2023-09-02T01:00:00Z	September	9	2023-09-02	01:00:00	16.332
59-32-a	59_32	a	2023-09-02T02:00:00Z	September	9	2023-09-02	02:00:00	16.332
59-32-a	59_32	a	2023-09-02T03:00:00Z	September	9	2023-09-02	03:00:00	15.855
59-32-a	59_32	a	2023-09-02T04:00:00Z	September	9	2023-09-02	04:00:00	15.569
59-32-a	59_32	a	2023-09-02T05:00:00Z	September	9	2023-09-02	05:00:00	15.473
59-32-a	59_32	a	2023-09-02T06:00:00Z	September	9	2023-09-02	06:00:00	15.569
59-32-a	59_32	a	2023-09-02T07:00:00Z	September	9	2023-09-02	07:00:00	15.951
59-32-a	59_32	a	2023-09-02T08:00:00Z	September	9	2023-09-02	08:00:00	16.999
59-32-a	59_32	a	2023-09-02T09:00:00Z	September	9	2023-09-02	09:00:00	18.045
59-32-a	59_32	a	2023-09-02T10:00:00Z	September	9	2023-09-02	10:00:00	18.996
59-32-a	59_32	a	2023-09-02T11:00:00Z	September	9	2023-09-02	11:00:00	19.092
59-32-a	59_32	a	2023-09-02T19:00:00Z	September	9	2023-09-02	19:00:00	18.616
59-32-a	59_32	a	2023-09-01T16:00:00Z	September	9	2023-09-01	16:00:00	18.331
59-32-a	59_32	a	2023-09-01T17:00:00Z	September	9	2023-09-01	17:00:00	18.331
59-32-a	59_32	a	2023-09-01T18:00:00Z	September	9	2023-09-01	18:00:00	17.95
59-32-a	59_32	a	2023-09-13T20:00:00Z	September	9	2023-09-13	20:00:00	15.378
59-32-a	59_32	a	2023-09-09T21:00:00Z	September	9	2023-09-09	21:00:00	21.091
59-32-a	59_32	a	2023-09-09T22:00:00Z	September	9	2023-09-09	22:00:00	20.234
59-32-a	59_32	a	2023-09-06T06:00:00Z	September	9	2023-09-06	06:00:00	16.713
59-32-a	59_32	a	2023-09-22T00:00:00Z	September	9	2023-09-22	00:00:00	12.98
59-32-a	59_32	a	2023-09-23T04:00:00Z	September	9	2023-09-23	04:00:00	9.768
59-32-a	59_32	a	2023-09-23T05:00:00Z	September	9	2023-09-23	05:00:00	9.472
59-32-a	59_32	a	2023-09-22T03:00:00Z	September	9	2023-09-22	03:00:00	12.497
59-32-a	59_32	a	2023-09-21T07:00:00Z	September	9	2023-09-21	07:00:00	16.427
59-32-a	59_32	a	2023-09-21T10:00:00Z	September	9	2023-09-21	10:00:00	16.523
59-32-a	59_32	a	2023-09-02T12:00:00Z	September	9	2023-09-02	12:00:00	19.758
59-32-a	59_32	a	2023-09-02T13:00:00Z	September	9	2023-09-02	13:00:00	20.234
59-32-a	59_32	a	2023-09-02T21:00:00Z	September	9	2023-09-02	21:00:00	17.76
59-32-a	59_32	a	2023-09-12T23:00:00Z	September	9	2023-09-12	23:00:00	17.475
59-32-a	59_32	a	2023-09-18T00:00:00Z	September	9	2023-09-18	00:00:00	18.331
59-32-a	59_32	a	2023-09-22T02:00:00Z	September	9	2023-09-22	02:00:00	12.787
59-32-a	59_32	a	2023-09-23T06:00:00Z	September	9	2023-09-23	06:00:00	9.768
59-32-a	59_32	a	2023-09-22T04:00:00Z	September	9	2023-09-22	04:00:00	11.916
59-32-a	59_32	a	2023-09-22T05:00:00Z	September	9	2023-09-22	05:00:00	11.819
59-32-a	59_32	a	2023-09-22T06:00:00Z	September	9	2023-09-22	06:00:00	11.431
59-32-a	59_32	a	2023-09-20T00:00:00Z	September	9	2023-09-20	00:00:00	15.187
59-32-a	59_32	a	2023-09-22T07:00:00Z	September	9	2023-09-22	07:00:00	11.431
59-32-a	59_32	a	2023-09-22T08:00:00Z	September	9	2023-09-22	08:00:00	12.013
59-32-a	59_32	a	2023-09-20T02:00:00Z	September	9	2023-09-20	02:00:00	14.709
59-32-a	59_32	a	2023-09-21T08:00:00Z	September	9	2023-09-21	08:00:00	16.523
59-32-a	59_32	a	2023-09-21T09:00:00Z	September	9	2023-09-21	09:00:00	16.523
59-32-a	59_32	a	2023-09-21T11:00:00Z	September	9	2023-09-21	11:00:00	16.046
59-32-a	59_32	a	2023-09-21T12:00:00Z	September	9	2023-09-21	12:00:00	15.569
59-32-a	59_32	a	2023-09-20T21:00:00Z	September	9	2023-09-20	21:00:00	17.379
59-32-a	59_32	a	2023-09-20T22:00:00Z	September	9	2023-09-20	22:00:00	15.473
59-32-a	59_32	a	2023-09-20T23:00:00Z	September	9	2023-09-20	23:00:00	15.569
